Slutpris,Utgångspris,Antal rum,Boarea,Våning,Byggår,Avgift/månad,Driftskostnad/år,Latitudes,Longitudes,Upplåtelseform_Andel i bostadsförening,Upplåtelseform_Andelsboende,Upplåtelseform_Annat,Upplåtelseform_Bostadsrätt,Upplåtelseform_Äganderätt,Balkong_Ja,Balkong_Nej,Hiss_Ja,Hiss_Nej
2350000,2395000,1.0,22.5,9.0,1950,1176.0,5880.0,59.3380329,18.0144761,0,0,0,1,0,0,1,1,0
3750000,2950000,1.0,26.0,4.0,1936,1166.0,4600.0,59.3361254,18.0823823,0,0,0,1,0,0,1,1,0
2500000,2750000,1.0,30.0,2.0,1938,2606.0,6880.5,59.3300512,18.0470286,0,0,0,1,0,0,1,0,1
3050000,2695000,1.0,25.0,5.0,1937,731.0,2400.0,59.3338356,18.0318668,0,0,0,1,0,0,1,1,0
4075000,3395000,1.0,31.0,2.0,1924,2145.0,3480.0,59.3433124,18.0707223,0,0,0,1,0,0,1,1,0
3700000,3695000,1.0,37.0,1.0,1916,2204.0,8400.0,59.346093,18.0416178,0,0,0,1,0,0,1,1,0
3200000,3150000,1.0,27.0,4.0,1927,2213.0,5184.0,59.3368752,18.0533008,0,0,0,1,0,1,0,1,0
3430000,2995000,1.0,30.0,3.0,1963,859.0,4320.0,59.3306662,18.0371541,0,0,0,1,0,1,0,1,0
3675000,3750000,1.0,35.0,5.0,1937,1978.0,6880.5,59.3333421,18.0381996,0,0,0,1,0,1,0,1,0
2950000,3250000,1.0,29.0,2.0,1928,1457.0,6880.5,59.3272546,18.0487791,0,0,0,1,0,0,1,1,0
1910000,1595000,1.0,16.0,4.0,1944,804.0,5226.0,59.327609,18.012946,0,0,0,1,0,0,1,1,0
3275000,3275000,1.0,27.0,3.0,1927,675.0,3000.0,59.3464225,18.0539441,0,0,0,1,0,0,1,1,0
2550000,2600000,1.0,18.0,1.0,1906,964.0,5758.0,59.3425271,18.0326197,0,0,0,1,0,0,1,0,1
3050000,2995000,1.0,25.0,7.0,1980,1807.0,6880.5,59.34529,18.0327477,0,0,0,1,0,0,1,1,0
3300000,2850000,1.0,34.0,3.0,0,1741.0,6880.5,59.3402747,18.0349866,0,0,0,1,0,0,1,1,0
3905000,3995000,1.0,46.0,0.5,1927,1581.0,4000.0,59.3272206,18.0434452,0,0,0,1,0,0,1,1,0
3100000,2995000,1.0,35.0,0.5,1930,1801.0,6880.5,59.3367391,18.0259077,0,0,0,1,0,0,1,0,1
3200000,3100000,1.0,34.0,2.0,1929,1621.0,5100.0,59.3341551,18.0382927,0,0,0,1,0,0,1,1,0
3335000,0,1.0,32.0,5.0,1962,1246.0,6880.5,59.3465923,18.0577056,0,0,0,1,0,0,1,1,0
2900000,2475000,1.0,30.0,1.0,1929,2372.0,4320.0,59.3382926,18.0254605,0,0,0,1,0,0,1,1,0
4600000,4295000,1.0,22.0,4.0,1903,890.0,4100.0,59.3446373,18.0711918,0,0,0,1,0,0,1,0,1
3000000,2795000,1.0,35.0,4.0,1927,1844.0,6880.5,59.3326292,18.0146726,0,0,0,1,0,0,1,0,1
3400000,3495000,1.0,37.0,3.0,1952,1938.0,4600.0,59.3356527,18.0310235,0,0,0,1,0,0,1,1,0
2810000,2795000,1.0,28.0,2.0,1929,1405.0,6880.5,59.3404007,18.0309843,0,0,0,1,0,0,1,1,0
3500000,3195000,1.0,31.0,1.5,1929,1367.0,2980.0,59.3384578,18.0379558,0,0,0,1,0,0,1,0,1
2495000,2495000,1.0,23.0,2.0,1927,1242.0,6880.5,59.33026,18.0402453,0,0,0,1,0,0,1,1,0
2800000,0,1.0,34.5,4.0,1926,1894.0,6880.5,59.3320674,18.0145413,0,0,0,1,0,0,1,0,1
2575000,2275000,1.0,21.0,4.0,1931,1136.0,6880.5,59.3476434,18.0662644,0,0,0,1,0,0,1,1,0
2730000,2995000,1.0,25.0,2.0,1970,605.0,6880.5,59.3358425,18.0935277,0,0,0,1,0,0,1,0,1
3100000,2495000,1.0,27.0,4.0,1927,1549.0,4200.0,59.3386298,18.0369722,0,0,0,1,0,0,1,1,0
3460000,3400000,1.0,32.0,1.0,1905,1008.0,6000.0,59.3363746,18.0338554,0,0,0,1,0,0,1,1,0
3125000,2495000,1.0,26.0,2.0,1937,1551.0,6880.5,59.3384179,18.0972751,0,0,0,1,0,1,0,1,0
3480000,2995000,1.0,29.0,1.0,1886,751.0,6000.0,59.3371228,18.0580826,0,0,0,1,0,0,1,0,1
2750000,2750000,1.0,26.5,2.0,1907,1524.0,6880.5,59.3422752,18.0279826,0,0,0,1,0,0,1,0,1
3250000,2695000,1.0,25.0,4.0,1937,886.0,3600.0,59.3389296,18.0970361,0,0,0,1,0,1,0,1,0
3050000,2895000,1.0,26.0,4.0,1927,1549.0,8518.0,59.3387426,18.0372385,0,0,0,1,0,0,1,1,0
3200000,3095000,1.0,35.0,1.0,1884,934.0,6880.5,59.3348318,18.0305909,0,0,0,1,0,0,1,1,0
3200000,3295000,1.0,31.0,5.0,1932,1796.0,6880.5,59.3329348,18.0407529,0,0,0,1,0,0,1,1,0
3200000,2695000,1.0,32.0,2.0,1939,1733.0,4008.0,59.3515216,18.059572,0,0,0,1,0,1,0,1,0
3500000,3500000,1.0,32.0,2.0,1930,1784.0,6100.0,59.3362617,18.0895133,0,0,0,1,0,0,1,1,0
2525000,2650000,1.0,27.0,4.0,1933,2057.0,6880.5,59.346413,18.069566,0,0,0,1,0,0,1,1,0
3800000,3300000,1.0,29.0,3.0,1914,1724.0,3800.0,59.3406669,18.0384646,0,0,0,1,0,1,0,0,1
4350000,3995000,1.0,34.0,4.0,1884,2191.0,6880.5,59.3349942,18.0293432,0,0,0,1,0,1,0,0,1
3050000,2850000,1.0,24.0,4.0,1929,600.0,6880.5,59.3462478,18.0538229,0,0,0,1,0,0,1,1,0
3175000,2995000,1.0,35.0,3.0,1937,2468.0,6880.5,59.3279173,18.0105703,0,0,0,1,0,1,0,1,0
3345000,3295000,1.0,31.0,4.0,1911,1665.0,4000.0,59.3418357,18.0289186,0,0,0,1,0,0,1,0,1
2400000,2395000,1.0,19.0,4.0,1929,1580.0,4048.0,59.3475993,18.0625777,0,0,0,1,0,0,1,1,0
3395000,3395000,1.0,39.0,13.0,2009,2007.0,7200.0,59.3352495,18.015198,0,0,0,1,0,1,0,1,0
2610000,2550000,1.0,19.0,2.0,1885,620.0,3600.0,59.3415276,18.0435088,1,0,0,0,0,0,1,0,1
2950000,2995000,1.0,27.0,3.0,1929,829.0,6880.5,59.3405553,18.0286815,0,0,0,1,0,0,1,1,0
3300000,3495000,1.0,40.5,5.0,0,2788.0,6880.5,59.3303721,18.0641629,0,0,0,1,0,0,1,1,0
3200000,3600000,1.0,26.0,2.0,1939,1394.0,4600.0,59.3367862,18.0866942,0,0,0,1,0,0,1,1,0
2975000,3195000,1.0,31.5,2.0,2022,2050.0,6880.5,59.3479011,18.0348618,0,0,0,1,0,0,1,0,1
3050000,2700000,1.0,27.0,2.0,1926,1440.0,2400.0,59.3457075,18.0527471,0,0,0,1,0,0,1,1,0
3300000,2995000,1.0,31.0,5.0,1935,1878.0,4560.0,59.3289418,18.037255,0,0,0,1,0,1,0,1,0
3170000,3095000,1.0,30.0,2.0,1901,1242.0,4000.0,59.3418282,18.039432,0,0,0,1,0,0,1,0,1
4260000,4200000,1.0,37.0,3.0,1891,853.0,4200.0,59.3440172,18.060009,0,0,0,1,0,1,0,1,0
2920000,2850000,1.0,27.0,0.5,1937,1605.0,3000.0,59.3333421,18.0381996,0,0,0,1,0,0,1,1,0
3700000,0,1.0,38.0,1.0,1909,1585.0,6880.5,59.3370241,18.0524596,0,0,0,1,0,0,1,0,1
3425000,3195000,1.0,32.0,2.0,1898,1347.0,6880.5,59.3342394,18.0334354,0,0,0,1,0,1,0,1,0
2780000,2495000,1.0,20.0,4.0,1921,363.0,6880.5,59.3440082,18.056108,0,0,0,1,0,0,1,1,0
3150000,2795000,1.0,27.0,2.0,1928,2157.0,6880.5,59.3387359,18.0348894,0,0,0,1,0,0,1,1,0
3150000,3150000,1.0,32.0,2.0,1928,2201.0,8100.0,59.3475993,18.0625777,0,0,0,1,0,0,1,0,1
3625000,3495000,1.0,38.0,3.0,1934,2079.0,5400.0,59.328362,18.0368481,0,0,0,1,0,0,1,1,0
2790000,2495000,1.0,21.0,5.0,1929,1266.0,4000.0,59.3365851,18.0257414,0,0,0,1,0,1,0,1,0
2875000,2450000,1.0,27.0,2.0,1928,1517.0,2500.0,59.3329101,18.0158774,0,0,0,1,0,0,1,0,1
3300000,2995000,1.0,31.0,4.0,0,1878.0,5400.0,59.3289418,18.037255,0,0,0,1,0,1,0,1,0
3200000,3250000,1.0,30.0,2.0,1907,1303.0,4000.0,59.3419484,18.0337397,1,0,0,0,0,0,1,0,1
3535000,3475000,1.0,26.0,0.5,1938,1197.0,6880.5,59.3375336,18.0759703,0,0,0,1,0,0,1,1,0
3200000,0,1.0,36.0,2.0,1927,2266.0,6880.5,59.3305296,18.0274545,0,0,0,1,0,0,1,1,0
3350000,2995000,1.0,32.1,4.0,1963,1365.0,4320.0,59.345766,18.0570235,0,0,0,1,0,0,1,1,0
2650000,2495000,1.0,24.5,2.0,1927,1366.0,6880.5,59.332734,18.015925,0,0,0,1,0,0,1,0,1
2965000,2795000,1.0,27.0,2.0,0,1873.0,6880.5,59.3284625,18.0381619,0,0,0,1,0,0,1,0,1
3270000,2995000,1.0,32.0,2.0,1905,789.0,5820.0,59.3363746,18.0338554,0,0,0,1,0,0,1,0,1
2600000,2695000,1.0,28.0,1.0,1930,1561.0,4000.0,59.3427443,18.0312548,0,0,0,1,0,0,1,1,0
3950000,3700000,1.0,38.0,4.0,1928,1836.0,4320.0,59.3397724,18.0318371,0,0,0,1,0,0,1,1,0
3400000,3495000,1.0,29.5,1.0,1939,1544.0,6100.0,59.3377275,18.0783656,0,0,0,1,0,0,1,1,0
3445000,3395000,1.0,36.0,3.0,1927,2311.0,5160.0,59.3305296,18.0274545,0,0,0,1,0,1,0,1,0
3000000,2995000,1.0,34.0,4.0,1926,1986.0,6544.0,59.3330306,18.0147747,0,0,0,1,0,0,1,0,1
3700000,3845000,1.0,38.0,3.0,1926,1452.0,6880.5,59.3454821,18.0370969,0,0,0,1,0,0,1,0,1
3225000,3250000,1.0,32.0,2.0,1927,917.0,24500.0,59.3371931,18.0609188,0,0,0,1,0,0,1,1,0
3600000,3695000,1.0,25.0,2.0,1882,1484.0,4000.0,59.334023,18.0846662,0,0,0,1,0,1,0,0,1
3265000,2995000,1.0,27.0,2.0,1911,1604.0,6880.5,59.3407058,18.0401326,0,0,0,1,0,1,0,1,0
3200000,3395000,1.0,34.0,4.0,1919,2074.0,6880.5,59.346093,18.0416178,0,0,0,1,0,0,1,1,0
2920000,2750000,1.0,29.0,2.0,1946,1512.0,5080.0,59.3364927,18.0517604,0,0,0,1,0,0,1,1,0
2800000,2895000,1.0,31.0,5.0,1969,1156.0,5496.0,59.3347934,18.0285004,0,0,0,1,0,0,1,1,0
2700000,2795000,1.0,27.0,7.0,1934,2391.0,6880.5,59.3305117,18.0471569,0,0,0,1,0,1,0,1,0
3700000,3700000,1.0,26.0,2.0,1930,1888.0,5500.0,59.3335534,18.0862484,0,0,0,1,0,1,0,1,0
3490000,2995000,1.0,39.0,2.0,1903,1854.0,3000.0,59.3487487,18.059345,0,0,0,1,0,0,1,0,1
2715000,2595000,1.0,28.0,7.0,1934,2458.0,6880.5,59.3305117,18.0471569,0,0,0,1,0,1,0,1,0
2995000,3295000,1.0,35.0,2.0,1911,2361.0,5040.0,59.348248,18.0630212,0,0,0,1,0,0,1,1,0
3250000,2795000,1.0,27.0,3.0,1939,1012.0,6880.5,59.3403808,18.0604709,0,0,0,1,0,1,0,1,0
3425000,2995000,1.0,37.0,0.5,1926,1768.0,7025.0,59.3400887,18.0317079,0,0,0,1,0,0,1,1,0
3500000,3495000,1.0,41.0,3.0,1935,2783.0,6880.5,59.3373836,18.0290455,0,0,0,1,0,1,0,1,0
2700000,2595000,1.0,21.0,5.0,1929,1711.0,6880.5,59.3386216,18.0389717,0,0,0,1,0,1,0,1,0
2900000,2595000,1.0,31.0,2.0,1912,1905.0,6880.5,59.3486816,18.0487594,0,0,0,1,0,0,1,0,1
2899000,2995000,1.0,27.0,2.0,1924,1280.0,6880.5,59.3455403,18.0362825,0,0,0,1,0,0,1,0,1
2725000,3050000,1.0,29.0,1.0,1930,1117.0,2403600.0,59.3285209,18.0344146,0,0,0,1,0,0,1,1,0
3255000,3195000,1.0,37.0,4.0,2006,2651.0,6880.5,59.3338694,18.0233542,0,0,0,1,0,1,0,1,0
3920000,3975000,1.0,32.0,3.0,1885,1456.0,11500.0,59.3415397,18.0476432,1,0,0,0,0,1,0,0,1
2650000,2520000,1.0,20.0,2.0,1929,1467.0,3300.0,59.3475993,18.0625777,0,0,0,1,0,0,1,0,1
3350000,2995000,1.0,30.0,4.0,1931,1195.0,4800.0,59.3291978,18.0300859,0,0,0,1,0,0,1,0,1
2800000,0,1.0,27.0,3.0,1929,1933.0,4700.0,59.3364327,18.0263479,0,0,0,1,0,0,1,1,0
2495000,2495000,1.0,22.0,4.0,1904,1218.0,6880.5,59.3358805,18.0334601,0,0,0,1,0,1,0,1,0
3440000,2995000,1.0,29.0,5.0,1934,1337.0,6880.5,59.3398176,18.0614004,0,0,0,1,0,0,1,1,0
3100000,3200000,1.0,28.0,4.0,1952,1665.0,6880.5,59.33649,18.0251602,0,0,0,1,0,1,0,1,0
3095000,3095000,1.0,34.0,4.0,1933,2361.0,4800.0,59.3349478,18.0013452,0,0,0,1,0,1,0,1,0
4000000,3800000,1.0,36.0,2.0,1883,1626.0,4000.0,59.3418313,18.0784011,0,0,0,1,0,0,1,0,1
3460000,3195000,1.0,31.0,4.0,1939,807.0,5880.0,59.3379025,18.0764014,0,0,0,1,0,1,0,1,0
4800000,5000000,1.0,32.0,4.0,2022,934.0,7354.0,59.3491903,18.0390982,0,1,0,0,0,0,1,1,0
3295000,3295000,1.0,32.0,2.0,1883,1721.0,8000.0,59.340045,18.081743,0,0,0,1,0,0,1,0,1
4000000,3750000,1.0,36.0,1.0,1929,2565.0,6880.5,59.3386664,18.0385424,0,0,0,1,0,1,0,1,0
2800000,2495000,1.0,27.0,1.0,1937,790.0,6880.5,59.3338356,18.0318668,0,0,0,1,0,0,1,1,0
2820000,2795000,1.0,35.0,3.0,1931,2539.0,6600.0,59.3338306,17.9987951,0,0,0,1,0,0,1,1,0
3200000,2750000,1.0,33.0,4.0,1912,1768.0,6880.5,59.3430868,18.027586,0,0,0,1,0,0,1,1,0
3650000,3350000,1.0,24.0,2.0,1931,1047.0,4400.0,59.3337487,18.0844385,0,0,0,1,0,1,0,1,0
3360000,2900000,1.0,24.0,3.0,1943,912.0,5600.0,59.3420258,18.0748888,0,0,0,1,0,1,0,1,0
3210000,2995000,1.0,29.0,4.0,1928,1513.0,5600.0,59.3366804,18.0507616,0,0,0,1,0,0,1,1,0
3125000,3150000,1.0,30.0,0.5,1927,1847.0,6880.5,59.3368752,18.0533008,0,0,0,1,0,0,1,1,0
3300000,2995000,1.0,29.0,3.0,1929,1279.0,5600.0,59.3384578,18.0379558,0,0,0,1,0,0,1,0,1
3100000,3095000,1.0,27.0,5.0,1929,1698.0,4000.0,59.3389073,18.0333547,0,0,0,1,0,0,1,1,0
4850000,4500000,1.0,40.0,3.0,1928,2181.0,8700.0,59.3401122,18.0327504,0,0,0,1,0,1,0,1,0
2600000,0,1.0,18.4,4.0,1963,498.0,6880.5,59.3259279,18.0192659,0,0,0,1,0,0,1,1,0
3050000,2995000,1.0,25.5,1.0,1924,1200.0,4000.0,59.3442204,18.0407898,0,0,0,1,0,0,1,0,1
2900000,2595000,1.0,26.0,3.0,1926,1160.0,5880.0,59.3443821,18.0353263,0,0,0,1,0,0,1,1,0
2600000,2495000,1.0,20.0,2.0,1929,1119.0,5048.0,59.3374841,18.086019,0,0,0,1,0,0,1,1,0
2250000,2350000,1.0,22.0,4.0,1939,2150.0,5880.0,59.3392702,18.0624755,0,0,0,1,0,0,1,1,0
2800000,2595000,1.0,26.0,1.0,1931,1570.0,6360.0,59.3289005,18.0350232,0,0,0,1,0,0,1,1,0
3175000,2995000,1.0,25.0,2.0,1896,1163.0,6880.5,59.3325421,18.0949738,0,0,0,1,0,0,1,0,1
2750000,2750000,1.0,20.0,2.0,1911,1426.0,6880.5,59.3355051,18.0353339,0,0,0,1,0,0,1,0,1
3320000,2495000,1.0,25.0,2.0,2022,733.0,7354.0,59.3491903,18.0390982,0,0,0,1,0,1,0,1,0
