Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
Karlbergsvägen 57,22 augusti 2022,2900000,2750000,Lägenhet,Bostadsrätt,1.0,20.0,Nej,2.0,1903,1005.0,,Ja,6
Kronobergsgatan 20,22 augusti 2022,2870000,2495000,Lägenhet,Bostadsrätt,1.0,16.0,Ja,2.0,1911,1121.0,,Ja,1
Alströmergatan 32M - Högst upp,22 augusti 2022,3200000,2895000,Lägenhet,Bostadsrätt,1.0,28.0,Nej,4.0,1929,1534.0,4005.0,Nej,1
"Floragatan 7, 0,5 tr",23 augusti 2022,2800000,2895000,Lägenhet,Bostadsrätt,1.0,22.0,Nej,0.5,1943,946.0,6540.0,Ja,9
"Bergsgatan 19A, 2 tr",23 augusti 2022,3250000,2895000,Lägenhet,Bostadsrätt,1.0,26.0,Ja,2.0,1885,1377.0,2952.0,Nej,8
"Sigtunagatan 14A, gårdshuset",23 augusti 2022,3550000,3495000,Lägenhet,Bostadsrätt,1.0,34.0,,,1898,1264.0,,,7
Rehnsgatan 12A,24 augusti 2022,2600000,2495000,Lägenhet,Bostadsrätt,1.0,19.0,Ja,3.0,1888,1197.0,3960.0,Nej,0
"Rådmansgatan 46, 3 tr",24 augusti 2022,2625000,2695000,Lägenhet,Bostadsrätt,1.0,25.0,Nej,3.0,1959,2006.0,1000.0,Ja,0
"Sankt Göransgatan 153, 9 tr",24 augusti 2022,2350000,2395000,Lägenhet,Bostadsrätt,1.0,22.5,Nej,9.0,1950,1176.0,5880.0,Ja,5
Artillerigatan 29,24 augusti 2022,3750000,2950000,Lägenhet,Bostadsrätt,1.0,26.0,,4.0,1936,1166.0,4600.0,Ja,9
"Kungsklippan 11, uteplats",24 augusti 2022,2500000,2750000,Lägenhet,Bostadsrätt,1.0,30.0,,,1938,2606.0,,,8
"Sankt Eriksgatan 39, 5tr",24 augusti 2022,3050000,2695000,Lägenhet,Bostadsrätt,1.0,25.0,Nej,5.0,1937,731.0,2400.0,Ja,1
"Östermalmsgatan 30, 2 Tr",24 augusti 2022,4075000,3395000,Lägenhet,Bostadsrätt,1.0,31.0,Nej,2.0,1924,2145.0,3480.0,Ja,0
"Dalagatan 86 G, 1½ tr",24 augusti 2022,3700000,3695000,Lägenhet,Bostadsrätt,1.0,37.0,,1.0,1916,2204.0,8400.0,Ja,7
"Kammakargatan 64A, 4tr",25 augusti 2022,3200000,3150000,Lägenhet,Bostadsrätt,1.0,27.0,Ja,4.0,1927,2213.0,5184.0,Ja,4
Bergsgatan 51,25 augusti 2022,3430000,2995000,Lägenhet,Bostadsrätt,1.0,30.0,Ja,3.0,1963,859.0,4320.0,Ja,8
"Polhemsgatan 38, 5 tr",25 augusti 2022,3675000,3750000,Lägenhet,Bostadsrätt,1.0,35.0,Ja,5.0,1937,1978.0,,Ja,8
Skillinggränd 3,25 augusti 2022,2950000,3250000,Lägenhet,Bostadsrätt,1.0,29.0,,2.0,1928,1457.0,,Ja,8
"Wennerbergsgatan 6A, 4 Tr",25 augusti 2022,1910000,1595000,Lägenhet,Bostadsrätt,1.0,16.0,Nej,4.0,1944,804.0,5226.0,Ja,5
Frejgatan 47,25 augusti 2022,3275000,3275000,Lägenhet,Bostadsrätt,1.0,27.0,Nej,3.0,1927,675.0,3000.0,Ja,4
Karlbergsvägen 66B,25 augusti 2022,2550000,2600000,Lägenhet,Bostadsrätt,1.0,18.0,Nej,1.0,1906,964.0,5758.0,Nej,6
