Adress,Datum,Slutpris,Utgångspris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Byggår,Avgift/månad,Driftskostnad/år,Hiss,Områdeskod
"Tulegatan 43,  6 tr",12 augusti 2022,5900000,5795000,Lägenhet,Bostadsrätt,2.0,60.0,Ja,6.0,1963,2397.0,,Ja,0
"Bråvallagatan 3, 2tr",12 augusti 2022,4500000,4295000,Lägenhet,Bostadsrätt,2.0,42.0,,2.0,1929,2785.0,,Ja,6
Kellgrensgatan 10,12 augusti 2022,4850000,4995000,Lägenhet,Bostadsrätt,2.0,53.5,Ja,11.0,2015,3473.0,6480.0,Ja,5
Hornsbergs strand 15D,12 augusti 2022,3110000,2995000,Lägenhet,Bostadsrätt,1.5,35.0,Ja,1.0,2016,1750.0,4000.0,Ja,5
Stagneliusvägen 30,13 augusti 2022,3350000,3295000,Lägenhet,Bostadsrätt,2.0,40.5,Ja,1.0,1937,2815.0,,Ja,5
Grev Turegatan 50,13 augusti 2022,7300000,6900000,Lägenhet,Bostadsrätt,2.0,57.0,Ja,2.0,1883,1867.0,,Ja,9
"Norra Stationsgatan 119, 6tr Vind under produktion",14 augusti 2022,6750000,6750000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,6.0,1913,3208.0,,Ja,6
"Kammakargatan 21, vån 5",15 augusti 2022,6300000,5995000,Lägenhet,Bostadsrätt,2.0,47.0,Ja,5.0,1942,3283.0,5200.0,Ja,4
"Hagagatan 1, vån 6",15 augusti 2022,5125000,4950000,Lägenhet,Bostadsrätt,2.0,60.0,Nej,6.0,1974,2780.0,5880.0,Ja,4
"Sigtunagatan 14A, 2 tr",15 augusti 2022,5250000,4695000,Lägenhet,Bostadsrätt,2.0,39.0,Ja,2.0,1902,1492.0,500.0,Nej,7
Sysslomansgatan 22,16 augusti 2022,5500000,5475000,Lägenhet,Bostadsrätt,2.0,63.0,Ja,5.0,1940,3884.0,,Ja,1
Jakob Westinsgatan 6,16 augusti 2022,6800000,5850000,Lägenhet,Bostadsrätt,2.5,63.0,Ja,2.0,1925,2306.0,5000.0,Ja,8
Vulcanusgatan 10,16 augusti 2022,4625000,3950000,Lägenhet,Bostadsrätt,2.0,39.0,,4.0,0,2023.0,3600.0,Ja,6
Alströmergatan 4,16 augusti 2022,6000000,5795000,Lägenhet,Bostadsrätt,2.0,58.0,Ja,1.0,1910,2445.0,4800.0,Ja,1
"Ola Hanssonsgatan 7, högst upp",16 augusti 2022,2830000,2595000,Lägenhet,Bostadsrätt,1.5,26.0,Ja,4.0,1934,1790.0,5016.0,Nej,2
"Frejgatan 18, 4 tr",16 augusti 2022,3850000,4150000,Lägenhet,Bostadsrätt,2.0,44.0,Ja,4.0,1940,2043.0,,Ja,0
"Torsgatan 42C, Ö.G",16 augusti 2022,4200000,4200000,Lägenhet,Bostadsrätt,2.0,39.5,Ja,2.0,1929,2304.0,,Ja,6
"Gävlegatan 9, 4tr",16 augusti 2022,4800000,4395000,Lägenhet,Bostadsrätt,2.0,44.0,Nej,4.0,1926,1741.0,,Nej,6
"Gävlegatan 26, 3tr",16 augusti 2022,3890000,3890000,Lägenhet,Bostadsrätt,2.0,40.0,Ja,3.0,2017,2000.0,,Ja,6
"Nordenflychtsvägen 62, vån 9",16 augusti 2022,4940000,4795000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,9.0,2017,1758.0,4300.0,Ja,2
"Ola Hanssonsgatan 9, 3 tr",16 augusti 2022,3215000,2795000,Lägenhet,Bostadsrätt,1.5,31.0,Ja,3.0,1934,2090.0,4700.0,Nej,2
Gävlegatan 11,16 augusti 2022,3960000,3895000,Lägenhet,Bostadsrätt,2.0,38.0,,5.0,1926,1452.0,,Nej,6
Parkgatan 12 A,17 augusti 2022,4400000,3995000,Lägenhet,Bostadsrätt,2.0,37.0,Ja,3.0,1900,1405.0,,,1
"Kungsholms strand 139, 4tr",17 augusti 2022,4900000,3995000,Lägenhet,Bostadsrätt,2.0,46.0,Ja,4.0,1936,2371.0,5880.0,Ja,1
Sankt Eriksplan 13,17 augusti 2022,5350000,5250000,Lägenhet,Bostadsrätt,2.0,51.0,Ja,2.0,1929,2748.0,4860.0,Ja,6
"Styrmansgatan 53A, BV",17 augusti 2022,4400000,4150000,Lägenhet,Andel i bostadsförening,1.5,33.0,,,1885,1297.0,11300.0,,3
"Lindhagensterrassen 9, vån 7",17 augusti 2022,4980000,4595000,Lägenhet,Bostadsrätt,2.0,59.5,Ja,7.0,2009,2506.0,9600.0,Ja,5
"Chapmansgatan 6, 3tr",18 augusti 2022,7125000,6895000,Lägenhet,Bostadsrätt,2.5,67.0,Nej,3.0,1932,3082.0,8100.0,Ja,1
"Ynglingagatan 26, 2 tr",18 augusti 2022,5550000,5750000,Lägenhet,Bostadsrätt,2.0,58.0,Nej,2.0,1929,1874.0,,Ja,7
Hjalmar Söderbergs väg 10,18 augusti 2022,4720000,4395000,Lägenhet,Bostadsrätt,2.0,53.0,Nej,,2020,3156.0,5000.0,,2
"Linnégatan 17A, 2 tr",18 augusti 2022,5100000,4995000,Lägenhet,Bostadsrätt,1.5,40.0,Ja,2.0,1940,1758.0,4000.0,Ja,9
"Gävlegatan 11, vån 3",18 augusti 2022,3975000,3995000,Lägenhet,Bostadsrätt,1.5,38.0,,3.0,0,1452.0,,Nej,6
Dalagatan 74B,18 augusti 2022,5990000,5795000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,2.0,1905,2902.0,5460.0,Nej,7
Dalagatan 41,18 augusti 2022,7300000,6995000,Lägenhet,Bostadsrätt,2.0,59.0,Ja,6.0,1913,2733.0,4800.0,Ja,7
"Roslagsgatan 25, 1tr",18 augusti 2022,3700000,3495000,Lägenhet,Bostadsrätt,2.0,36.0,,1.0,1902,2405.0,4800.0,Ja,0
"Observatoriegatan 9, 1,5tr",18 augusti 2022,6000000,5695000,Lägenhet,Andel i bostadsförening,2.0,58.0,,1.0,1881,2867.0,5040.0,Ja,4
John Ericssonsgatan 18,18 augusti 2022,6500000,6495000,Lägenhet,Bostadsrätt,2.5,72.0,Ja,1.0,1935,3039.0,,Ja,8
"Fridhemsgatan 62, 4tr - Accepterat pris!",18 augusti 2022,4800000,5300000,Lägenhet,Bostadsrätt,2.0,47.0,Ja,4.0,1884,2171.0,7884.0,Ja,1
"Sankt Eriksgatan 82, 4 tr.",18 augusti 2022,4720000,4395000,Lägenhet,Bostadsrätt,2.0,41.0,,4.0,1927,711.0,6000.0,Ja,6
Upplandsgatan 71,18 augusti 2022,6060000,5895000,Lägenhet,Bostadsrätt,2.0,57.0,,1.0,1887,1889.0,,Ja,7
"Hjärnegatan 4A, 3tr",19 augusti 2022,4200000,3950000,Lägenhet,Bostadsrätt,2.0,37.0,Ja,3.0,1898,1868.0,,Nej,8
Karlavägen 82,19 augusti 2022,4875000,4875000,Lägenhet,Bostadsrätt,1.5,39.0,Nej,4.0,1970,1554.0,3447.0,Ja,3
Ynglingagatan 17 - ACCEPTERAT PRIS,19 augusti 2022,4450000,4350000,Lägenhet,Bostadsrätt,2.0,46.0,Nej,1.0,1907,2686.0,5500.0,Ja,7
"Völundsgatan 10, 3tr",19 augusti 2022,3995000,3995000,Lägenhet,Bostadsrätt,1.5,37.0,Ja,3.0,1928,2261.0,,Ja,6
"Sonja Kovalevskys gata 3, 3tr",19 augusti 2022,5470000,5195000,Lägenhet,Bostadsrätt,2.0,51.0,Ja,3.0,2017,2550.0,,Ja,6
Kungsklippan 22,19 augusti 2022,3600000,3850000,Lägenhet,Bostadsrätt,2.0,43.0,,,1935,3418.0,5388.0,,8
Ruddammsvägen 4,19 augusti 2022,3320000,3095000,Lägenhet,Bostadsrätt,1.5,36.0,Ja,1.0,1943,1621.0,7848.0,Ja,0
"Lindhagensgatan 139 B, 8 tr",21 augusti 2022,7300000,6995000,Lägenhet,Bostadsrätt,2.0,70.5,Ja,8.0,2015,3049.0,4800.0,Ja,2
Ingemarsgatan 3A,21 augusti 2022,3650000,3495000,Lägenhet,Bostadsrätt,2.0,37.0,Ja,2.0,1913,1927.0,2325.0,Ja,0
Ola Hanssonsgatan 1,21 augusti 2022,2910000,2795000,Lägenhet,Bostadsrätt,1.5,28.0,Ja,4.0,1934,1921.0,4920.0,Nej,2
Karlsviksgatan 18,21 augusti 2022,5270000,5275000,Lägenhet,Bostadsrätt,2.5,54.0,,0.5,1912,1145.0,,Ja,1
"Industrigatan 5, 2 tr",22 augusti 2022,3750000,3750000,Lägenhet,Bostadsrätt,1.5,36.0,Ja,2.0,1936,1260.0,6800.0,Ja,1
Karlsviksgatan 18,22 augusti 2022,3810000,3795000,Lägenhet,Bostadsrätt,2.0,36.0,,4.0,1912,1013.0,3800.0,Ja,1
Sveavägen 99 - Gårdsläge,22 augusti 2022,4350000,3995000,Lägenhet,Bostadsrätt,2.0,41.0,Nej,1.0,1926,1928.0,,Ja,4
Sankt eriksgatan 101,22 augusti 2022,5350000,5195000,Lägenhet,Bostadsrätt,2.0,48.0,Nej,2.0,1926,2008.0,5460.0,Ja,6
"Hälsingehöjden 11, 5tr",23 augusti 2022,8300000,6995000,Lägenhet,Bostadsrätt,2.0,61.0,Ja,5.0,1924,2359.0,,Ja,7
Kristinebergsvägen 3,23 augusti 2022,3200000,2950000,Lägenhet,Bostadsrätt,2.0,36.0,Nej,3.0,1926,2088.0,8112.0,Nej,5
Igeldammsgatan 10,23 augusti 2022,5625000,4995000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,1.0,1929,3026.0,10500.0,Ja,1
"Pilgatan 26A, Gårdshus vån 2",23 augusti 2022,6200000,6295000,Lägenhet,Bostadsrätt,2.5,69.0,Ja,2.0,1900,4547.0,6000.0,Nej,8
Pontonjärgatan 18,23 augusti 2022,3970000,3795000,Lägenhet,Bostadsrätt,2.0,38.0,,3.0,1931,2335.0,,Ja,1
Hjärnegatan 8,23 augusti 2022,4300000,3995000,Lägenhet,Bostadsrätt,2.0,46.3,Ja,,1988,1946.0,,,8
"Fridhemsgatan 37, 1tr",23 augusti 2022,6260000,5795000,Lägenhet,Bostadsrätt,2.0,58.0,Nej,1.0,1901,2919.0,,Ja,1
"Arbetargatan 29, 5 tr",23 augusti 2022,5755000,5495000,Lägenhet,Bostadsrätt,2.0,54.0,Ja,5.0,1909,2541.0,5460.0,Ja,1
"Olof Palmes gata 12, 3 tr",23 augusti 2022,4375000,3895000,Lägenhet,Bostadsrätt,1.5,39.0,Ja,3.0,1939,1877.0,8916.0,Ja,0
"Geijersvägen 17, 1 tr",23 augusti 2022,3350000,3195000,Lägenhet,Bostadsrätt,2.0,47.0,,1.0,1939,2243.0,,Nej,5
Birger Jarlsgatan 104M,23 augusti 2022,5300000,4995000,Lägenhet,Bostadsrätt,2.0,50.0,,3.0,1928,3612.0,4700.0,Nej,0
Love almqvists väg 4A,24 augusti 2022,4230000,3795000,Lägenhet,Bostadsrätt,2.0,47.5,Ja,,1935,3611.0,5460.0,,2
"Roslagsgatan 55, 1½ tr",24 augusti 2022,4010000,3475000,Lägenhet,Bostadsrätt,1.5,35.5,Ja,1.0,1929,1972.0,,Nej,0
"Grev Turegatan 80, BV",24 augusti 2022,7150000,6950000,Lägenhet,Andel i bostadsförening,2.0,60.0,,,1881,2332.0,3500.0,,9
Styrmansgatan 49,24 augusti 2022,5000000,0,Lägenhet,Bostadsrätt,2.0,44.0,,4.0,0,3119.0,,Ja,3
Sankt Eriksplan 13,24 augusti 2022,5075000,4995000,Lägenhet,Bostadsrätt,1.5,48.0,Ja,2.0,1929,2541.0,4000.0,Ja,6
Grev Magnigatan 10A,24 augusti 2022,6100000,5350000,Lägenhet,Bostadsrätt,2.0,44.0,Ja,2.0,1894,2142.0,11100.0,Ja,3
Rörstrandsgatan 14,24 augusti 2022,7000000,6500000,Lägenhet,Bostadsrätt,2.0,65.0,Ja,4.0,1914,2137.0,,Nej,6
"Ola Hanssonsgatan 4, 4tr",24 augusti 2022,3920000,3995000,Lägenhet,Bostadsrätt,2.0,50.0,Ja,4.0,1933,3216.0,5388.0,Ja,2
"Tomtebogatan 51, 3tr",24 augusti 2022,7050000,6995000,Lägenhet,Bostadsrätt,2.0,62.0,Ja,3.0,0,3218.0,6360.0,Ja,6
"Baltzar von Platens gata 7C, 1 tr",24 augusti 2022,5200000,4595000,Lägenhet,Bostadsrätt,2.0,50.0,,1.0,0,1037.0,,Ja,1
John Bergs plan 7,24 augusti 2022,3400000,3295000,Lägenhet,Bostadsrätt,2.0,38.0,Ja,1.0,1937,2760.0,3600.0,Ja,1
Sankt Eriksgatan 85A,24 augusti 2022,6400000,5995000,Lägenhet,Bostadsrätt,2.5,72.0,,2.0,1926,1956.0,,Ja,6
"Torbjörn klockares gata 3, 1,5tr.",24 augusti 2022,4000000,4295000,Lägenhet,Bostadsrätt,1.5,47.0,,1.0,1926,2410.0,,Ja,6
"Garvar Lundins gränd 10, 1,5 tr (vån 2)",25 augusti 2022,4800000,4575000,Lägenhet,Bostadsrätt,2.0,47.0,Nej,2.0,1928,2791.0,3000.0,Ja,8
Sysslomansgatan 24,25 augusti 2022,5750000,5995000,Lägenhet,Bostadsrätt,2.5,71.0,Ja,2.0,1939,3433.0,8232.0,Ja,1
"Fridhemsgatan 13, 7 tr",25 augusti 2022,5800000,4975000,Lägenhet,Bostadsrätt,2.0,57.0,Ja,7.0,1938,2898.0,5880.0,Ja,1
"Fridhemsgatan 13, 5 tr",25 augusti 2022,3775000,3995000,Lägenhet,Bostadsrätt,2.0,43.0,Ja,5.0,1938,2199.0,,Ja,1
"Alströmergatan 32U, vån 3",25 augusti 2022,4475000,4250000,Lägenhet,Bostadsrätt,2.0,49.0,Nej,3.0,1929,2470.0,,Nej,1
"Frödingsvägen 5, 2tr",25 augusti 2022,3800000,3495000,Lägenhet,Bostadsrätt,2.0,40.0,Ja,2.0,1931,2173.0,9060.0,Nej,2
"Karlaplan 5B, 2tr, ÖG",25 augusti 2022,6500000,6700000,Lägenhet,Bostadsrätt,2.0,48.0,,,1889,2924.0,,,3
Kungsbro strand 19,25 augusti 2022,3100000,3295000,Lägenhet,Bostadsrätt,2.0,36.5,,,0,2985.0,3600.0,,8
Vikingagatan 27,25 augusti 2022,5470000,5195000,Lägenhet,Bostadsrätt,2.0,49.0,Ja,2.0,1930,2183.0,3300.0,Ja,6
"Västmannagatan 89A 1,5tr ö.g",25 augusti 2022,4150000,3995000,Lägenhet,Bostadsrätt,1.5,38.0,Ja,1.0,1906,1515.0,11642.0,,7
"Lustgårdsgatan 3, 2tr",25 augusti 2022,3790000,3695000,Lägenhet,Bostadsrätt,2.0,49.0,Ja,2.0,2012,2880.0,,Ja,5
Karlsviksgatan 1,25 augusti 2022,3550000,3495000,Lägenhet,Bostadsrätt,1.5,36.0,Ja,,1927,2109.0,,,1
"Alströmergatan 32 A, vån 5/6",25 augusti 2022,4350000,3975000,Lägenhet,Bostadsrätt,2.0,40.0,Ja,5.0,1929,2202.0,,Ja,1
Celsiusgatan 4,26 augusti 2022,3950000,3895000,Lägenhet,Bostadsrätt,2.0,43.5,Ja,4.0,1932,2497.0,4300.0,Ja,8
"Birkagatan 10, 3tr",26 augusti 2022,6675000,6495000,Lägenhet,Bostadsrätt,2.0,64.0,Nej,3.0,1927,1472.0,11868.0,Ja,6
Nybrogatan 62,26 augusti 2022,5400000,0,Lägenhet,Bostadsrätt,2.0,41.0,Nej,,1891,1072.0,4000.0,,9
"John Ericssonsgatan 16, 2tr",26 augusti 2022,3520000,3695000,Lägenhet,Bostadsrätt,2.0,34.0,Nej,2.0,1934,2223.0,3600.0,Ja,8
Lilla Västerbron 6,26 augusti 2022,4100000,0,Lägenhet,Bostadsrätt,2.0,42.0,Ja,4.0,2008,2337.0,5894.0,Ja,1
"Södra Agnegatan 26, 3 tr",26 augusti 2022,7000000,5925000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,3.0,1884,2009.0,,Ja,8
Rålambsvägen 52,26 augusti 2022,3120000,2995000,Lägenhet,Bostadsrätt,2.0,41.0,Ja,0.5,0,2173.0,,Nej,2
Birger Jarlsgatan 109C,26 augusti 2022,6225000,5995000,Lägenhet,Bostadsrätt,2.0,57.0,Ja,2.0,1903,2605.0,,Nej,0
Svedbergsplan 4,27 augusti 2022,4650000,4395000,Lägenhet,Bostadsrätt,2.0,52.0,Ja,2.0,1943,984.0,,Ja,5
Nybrogatan 70A,27 augusti 2022,4650000,3750000,Lägenhet,Bostadsrätt,2.0,34.0,,4.0,1927,1557.0,,Ja,9
Hälsingegatan 61,27 augusti 2022,6600000,6350000,Lägenhet,Bostadsrätt,2.0,63.0,Ja,9.0,2019,3150.0,,Ja,6
Tre Liljor 2B,28 augusti 2022,4800000,4500000,Lägenhet,Bostadsrätt,2.0,41.0,Ja,1.0,1924,2186.0,6700.0,Ja,7
Drottninghusgränd 7,28 augusti 2022,4195000,4195000,Lägenhet,Bostadsrätt,2.0,42.0,,1.5,1936,2351.0,,Ja,0
John Ericssonsgatan 11B,29 augusti 2022,7750000,6995000,Lägenhet,Bostadsrätt,2.0,64.0,Ja,,1935,3853.0,11532.0,,8
"Karlavägen 61A, 4 tr",29 augusti 2022,6600000,0,Lägenhet,Bostadsrätt,2.0,46.0,Ja,4.0,1880,1224.0,4400.0,,9
Vegagatan 6A,29 augusti 2022,5200000,4795000,Lägenhet,Bostadsrätt,2.0,48.0,Nej,1.0,1897,2249.0,5460.0,Nej,4
Kungsbro strand 21,29 augusti 2022,4300000,4495000,Lägenhet,Bostadsrätt,2.0,51.0,Ja,4.0,1936,4022.0,,Ja,8
"Fleminggatan 21A, Gårdshus",29 augusti 2022,6150000,5995000,Lägenhet,Bostadsrätt,2.0,62.0,Ja,1.0,1906,2519.0,10800.0,Nej,8
Frödingsvägen 6,29 augusti 2022,3495000,3495000,Lägenhet,Bostadsrätt,2.0,48.0,,,1933,2152.0,9300.0,,2
"Tomtebogatan 28 A, 4tr",29 augusti 2022,7050000,6995000,Lägenhet,Bostadsrätt,2.0,60.0,Ja,4.0,1906,1712.0,,Ja,6
"Lidnersplan 6, 4 tr",29 augusti 2022,5320000,4995000,Lägenhet,Bostadsrätt,2.5,60.0,Ja,4.0,1938,2798.0,,Ja,2
Kungsbro strand 19 våning 7/7,30 augusti 2022,4500000,3995000,Lägenhet,Bostadsrätt,2.0,42.0,Ja,7.0,1934,3543.0,,Ja,8
Nybrogatan 19B,30 augusti 2022,7890000,7850000,Lägenhet,Bostadsrätt,2.0,56.0,,-1.0,1904,2200.0,4900.0,Ja,9
Lidnersgatan 10A,30 augusti 2022,4225000,3995000,Lägenhet,Bostadsrätt,2.0,46.5,Ja,5.0,1938,3658.0,,Ja,2
Garvar Lundins gränd 7,30 augusti 2022,7150000,6000000,Lägenhet,Bostadsrätt,2.0,63.0,Ja,1.0,1927,2150.0,,Ja,8
"Polhemsgatan 31, 1 tr",30 augusti 2022,3550000,3495000,Lägenhet,Bostadsrätt,2.0,39.3,Nej,1.0,1923,1877.0,5760.0,Ja,8
"Gävlegatan 26, vån 10",30 augusti 2022,4825000,4950000,Lägenhet,Bostadsrätt,2.0,44.0,Ja,10.0,2017,2200.0,,Ja,6
"Svarvargatan 17, 3tr",30 augusti 2022,5000000,5295000,Lägenhet,Bostadsrätt,2.0,59.0,Ja,3.0,1931,2867.0,5652.0,Ja,1
Gävlegatan 32,30 augusti 2022,4450000,4750000,Lägenhet,Bostadsrätt,2.0,55.0,Nej,1.0,2017,2750.0,4920.0,Ja,6
"Gästrikegatan 14a, Gårdshus",30 augusti 2022,4300000,3995000,Lägenhet,Bostadsrätt,2.0,33.0,,0.0,1899,1646.0,4500.0,,6
"Grev Magnigatan 16, 2 tr",30 augusti 2022,9300000,8500000,Lägenhet,Bostadsrätt,2.5,68.0,Ja,2.0,1896,3321.0,,Ja,3
John bergs plan 8,30 augusti 2022,3075000,2995000,Lägenhet,Bostadsrätt,1.5,35.0,Nej,0.5,1938,1938.0,,Ja,1
Karlsviksgatan 9,30 augusti 2022,4100000,4295000,Lägenhet,Bostadsrätt,2.0,37.0,Ja,1.0,1926,1809.0,5400.0,Ja,1
Wivalliusgatan 34,30 augusti 2022,3200000,3750000,Lägenhet,Bostadsrätt,2.0,48.5,Nej,1.0,2003,3494.0,8760.0,Nej,5
"Love Almqvists väg 4b, vån 4",30 augusti 2022,3295000,3295000,Lägenhet,Bostadsrätt,2.0,38.0,Ja,4.0,1935,3088.0,3100.0,Ja,2
Stagneliusvägen 23,30 augusti 2022,2610000,2675000,Lägenhet,Bostadsrätt,1.5,34.5,,,1937,2250.0,,,5
Roslagstullsbacken 18,30 augusti 2022,4450000,4495000,Lägenhet,Bostadsrätt,2.0,63.6,Ja,1.0,2008,3418.0,7020.0,Ja,0
Atlasgatan 13,31 augusti 2022,3000000,2795000,Lägenhet,Bostadsrätt,1.5,25.0,Nej,1.5,1928,1049.0,,Ja,6
"Kronobergsgatan 25, Takvåning",31 augusti 2022,4750000,4995000,Lägenhet,Bostadsrätt,2.0,45.0,Ja,5.0,0,3055.0,,Ja,1
"Arbetargatan 28A, 3 tr",31 augusti 2022,5595000,5595000,Lägenhet,Bostadsrätt,2.0,68.0,Ja,3.0,1906,2425.0,6468.0,Ja,1
Baltzar von Platens gata 6,31 augusti 2022,4050000,3750000,Lägenhet,Bostadsrätt,2.0,46.0,,0.0,1931,2304.0,8300.0,Ja,1
"Körsbärsvägen 10, 3tr",31 augusti 2022,3650000,3250000,Lägenhet,Bostadsrätt,2.0,35.0,Ja,3.0,1942,1608.0,,Ja,0
Rörstrandsgatan 14A,31 augusti 2022,6225000,5995000,Lägenhet,Bostadsrätt,2.0,54.0,Ja,2.0,1914,1757.0,8040.0,Nej,6
Birkagatan 32,31 augusti 2022,7400000,6995000,Lägenhet,Bostadsrätt,2.0,64.0,Ja,1.0,1904,1313.0,7200.0,Ja,6
Grevgatan 49,31 augusti 2022,4900000,4495000,Lägenhet,Bostadsrätt,2.0,40.0,Nej,,1947,2120.0,,,3
"Svarvargatan 12, 5tr",31 augusti 2022,3495000,3495000,Lägenhet,Bostadsrätt,2.0,33.0,Ja,5.0,1930,2059.0,5268.0,Ja,1
Artillerigatan 75,1 september 2022,4400000,3900000,Lägenhet,Bostadsrätt,1.5,37.0,,2.0,1929,1684.0,6800.0,Ja,9
Karlavägen 95,1 september 2022,8300000,7950000,Lägenhet,Bostadsrätt,2.0,52.0,Ja,4.0,1925,2084.0,5000.0,Ja,3
Teknologgatan 9D,1 september 2022,5400000,5195000,Lägenhet,Bostadsrätt,2.0,46.5,Ja,1.0,1881,2042.0,,Nej,4
"Garvargatan 20, 2tr",1 september 2022,4450000,3995000,Lägenhet,Bostadsrätt,2.0,41.0,Ja,2.0,1932,2145.0,7800.0,Ja,8
Odengatan 12A,1 september 2022,5500000,5395000,Lägenhet,Bostadsrätt,2.0,46.0,Ja,2.0,1892,990.0,4800.0,,0
Sveavägen 133,1 september 2022,3700000,3495000,Lägenhet,Bostadsrätt,2.0,38.0,Nej,2.0,1926,1868.0,,Ja,7
Frejgatan 23,1 september 2022,5575000,5750000,Lägenhet,Bostadsrätt,2.0,55.0,Ja,2.0,1902,3175.0,7500.0,Ja,0
"Hälsingegatan 3, 2 tr ög",1 september 2022,7000000,6495000,Lägenhet,Andel i bostadsförening,2.0,55.0,Ja,2.0,1899,1882.0,4277.0,Nej,7
"Norr Mälarstrand 94, 5 tr",1 september 2022,8450000,7350000,Lägenhet,Bostadsrätt,2.5,80.0,Ja,5.0,1939,3986.0,5400.0,Ja,1
Tomtebogatan 3,1 september 2022,5200000,4850000,Lägenhet,Bostadsrätt,2.0,38.0,Ja,5.0,1927,1052.0,8600.0,Ja,6
"Kungsholmsgatan 44, 1tr",1 september 2022,4200000,3995000,Lägenhet,Bostadsrätt,1.5,41.0,Ja,1.0,1901,1845.0,7800.0,Nej,8
"Robert Almströmsgatan 4, 5tr",1 september 2022,6150000,6095000,Lägenhet,Bostadsrätt,2.0,53.0,Nej,5.0,1927,2829.0,,Ja,6
"Johannesgatan 2, 3 tr",1 september 2022,5800000,5750000,Lägenhet,Bostadsrätt,2.0,51.0,,3.0,1855,1937.0,7836.0,Ja,0
Södra Agnegatan 26A,1 september 2022,6975000,6295000,Lägenhet,Bostadsrätt,2.0,65.0,Ja,1.0,1884,2329.0,,Nej,8
Rålambsvägen 69,1 september 2022,3175000,2995000,Lägenhet,Bostadsrätt,2.0,37.0,Ja,1.0,1935,2264.0,6684.0,Ja,2
Stagneliusvägen 43,2 september 2022,4700000,4750000,Lägenhet,Bostadsrätt,2.0,58.0,Nej,2.0,1935,1408.0,7408.0,Ja,2
"Pontonjärgatan 43, vån 3",2 september 2022,7025000,6995000,Lägenhet,Bostadsrätt,2.5,74.0,Ja,3.0,1924,3702.0,,Ja,1
"Kungsholmsgatan 9, 4tr",2 september 2022,4300000,4595000,Lägenhet,Bostadsrätt,2.0,52.0,Ja,4.0,1936,4120.0,4800.0,Ja,8
Igeldammsgatan 34,2 september 2022,5300000,4995000,Lägenhet,Bostadsrätt,2.0,71.0,Ja,-1.0,1929,3207.0,5880.0,Ja,1
Scheelegatan 6A,2 september 2022,6200000,6750000,Lägenhet,Bostadsrätt,2.0,59.0,Ja,1.0,0,2679.0,6864.0,Ja,8
Tegnérgatan 16,2 september 2022,4750000,4250000,Lägenhet,Bostadsrätt,2.0,44.0,,1.0,1884,773.0,7800.0,Ja,0
Ola Hanssonsgatan 6,2 september 2022,3830000,3995000,Lägenhet,Bostadsrätt,2.0,50.0,Ja,1.0,1933,3113.0,4860.0,Ja,2
"Ynglingagatan 21, 3,5tr",2 september 2022,6400000,6295000,Lägenhet,Bostadsrätt,2.0,59.0,Ja,3.0,1905,3056.0,6300.0,Ja,7
Fleminggatan 40E,2 september 2022,5015000,4995000,Lägenhet,Bostadsrätt,2.0,70.0,,1.0,0,3191.0,4800.0,Ja,1
"Garvargatan 3 A, 1 tr",3 september 2022,3195000,3350000,Lägenhet,Bostadsrätt,2.0,28.0,,1.0,1910,1177.0,,Ja,8
"Torsgatan 43, 6 tr",3 september 2022,4200000,3895000,Lägenhet,Bostadsrätt,2.0,38.0,,6.0,1929,1374.0,,Ja,6
"Norrbackagatan 33, våning 3",4 september 2022,5000000,5250000,Lägenhet,Bostadsrätt,2.0,66.0,Ja,3.0,1986,3521.0,,Ja,6
"Alströmergatan 32 I, 3 tr.",4 september 2022,3450000,3400000,Lägenhet,Bostadsrätt,1.5,41.0,Nej,3.0,1929,2136.0,,Ja,1
"Nybrogatan 19B, 4 tr",4 september 2022,6500000,6195000,Lägenhet,Bostadsrätt,1.5,39.0,Nej,4.0,1900,1708.0,,Ja,9
Emmy rappes gata 3,4 september 2022,6395000,6995000,Lägenhet,Bostadsrätt,2.0,66.0,Nej,3.0,2021,3977.0,12060.0,Ja,6
Hälsingegatan 7 A,5 september 2022,4400000,4400000,Lägenhet,Bostadsrätt,2.0,32.0,Nej,,1899,1240.0,,,7
Wargentinsgatan 5E,5 september 2022,5300000,4995000,Lägenhet,Bostadsrätt,2.0,51.0,Ja,1.0,1932,2588.0,,Ja,8
"Karlbergsvägen 72B, 2 tr.",5 september 2022,5650000,5495000,Lägenhet,Bostadsrätt,2.0,51.0,,2.0,1918,2103.0,6000.0,Ja,6
Vanadisvägen 11,6 september 2022,5800000,6495000,Lägenhet,Bostadsrätt,2.0,66.0,Ja,4.0,1984,2270.0,9000.0,Ja,7
"Vanadisvägen 26 B, 2 tr",6 september 2022,5475000,5175000,Lägenhet,Bostadsrätt,2.0,47.0,Ja,2.0,1913,2080.0,,Ja,7
"Sigtunagatan 13A, 1tr",6 september 2022,3700000,2950000,Lägenhet,Bostadsrätt,2.0,30.0,Nej,,1901,983.0,10620.0,,7
